Galaxy ID		Final Galaxy Mass (Msun)
0594			124390000000
0530			124230000000
0599			123890000000
0966			123730000000
1703			123680000000
1223			123350000000
0406			123340000000
0933			123210000000
0768			123000000000
0776			122270000000
1116			121470000000
0608			121170000000
1559			120350000000
0990			119890000000
1417			119860000000
1271			119240000000
0903			119130000000
0243			118980000000
1372			118310000000
1523			116960000000
1029			116690000000
1560			116460000000
0671			116260000000
0531			114640000000
1162			114450000000
0818			114060000000
0674			113280000000
0904			112790000000
1419			112060000000
1329			111440000000
0779			111150000000
1522			110440000000
1118			110280000000
1071			109420000000
1328			109140000000
0905			108990000000
0846			108970000000
0672			108330000000
1117			108100000000
1422			107270000000
0711			106940000000
1224			105840000000
1454			105680000000
1420			105660000000
1330			105360000000
0407			105040000000
1332			104860000000
1161			104500000000
1452			104410000000
1378			104250000000
1115			102620000000
1227			101850000000
1601			101690000000
0710			101400000000
0936			101360000000
1377			100400000000
1157			99680000000
0670			99610000000
0777			99440000000
1453			98610000000
1023			98210000000
1156			97810000000
1379			96520000000
0778			95830000000
1331			95660000000
1421			95660000000
0825			95550000000
0997			95480000000
0673			95340000000
1634			94470000000
0847			94350000000
1221			93030000000
1334			92090000000
0604			91530000000
1743			91050000000
1602			90860000000
0826			90640000000
1600			90530000000
0906			90140000000
1225			89870000000
1381			89700000000
1423			89590000000
0611			89510000000
1030			88970000000
1333			88140000000
1122			87450000000
0666			87210000000
0527			87080000000
1337			86650000000
1228			86200000000
0848			85930000000
0996			85750000000
0934			85700000000
1121			85490000000
0824			83850000000
1456			83360000000
1335			83250000000
1619			82950000000
1489			82920000000
0902			82680000000
1603			82500000000
1073			82380000000
1526			82270000000
0827			82140000000
1336			81930000000
1562			80930000000
1070			80540000000
1633			80360000000
1229			79890000000
0998			79880000000
1525			79430000000
1424			79020000000
1276			78870000000
1426			78220000000
0967			77930000000
0481			77550000000
1528			76580000000
1527			75060000000
1031			74880000000
0907			74720000000
1458			74660000000
1635			74510000000
1457			73700000000
1425			73290000000
1163			73270000000
1382			73100000000
0772			72970000000
1587			72890000000
1490			71570000000
0901			70960000000
1074			70860000000
1338			70230000000
1588			69800000000
1124			69250000000
1589			68340000000
1226			68070000000
1529			67580000000
1604			67470000000
1427			66550000000
0937			66000000000
1164			65800000000
1492			65140000000
1459			64530000000
1721			63460000000
1605			63430000000
0780			62750000000
1275			62350000000
1165			62000000000
1491			61950000000
1279			61808000000
1277			61100000000
0849			60980000000
1530			60127000000
1075			60100000000
1278			59665000000
1531			59159000000
1590			59005000000
1123			59000000000
1493			58743000000
1272			58570000000
0616			58050000000
1274			57810000000
1735			57810000000
1339			57750000000
1280			57413000000
1460			57311000000
1494			56929000000
1533			56883000000
1230			56698000000
1428			56603000000
1383			56590000000
1032			56155000000
1607			55937000000
1606			55936000000
1532			55841000000
1620			55817000000
1563			54531000000
0964			54460000000
1708			54459000000
1028			54230000000
1072			54040000000
0615			53320000000
1384			51140000000
1621			51004000000
1461			50595000000
1737			49662000000
1681			49081000000
1534			48838000000
1636			48788000000
1722			48634000000
0828			48173000000
1535			47689000000
1623			46794000000
1763			46385000000
1463			45959000000
1622			45911000000
1462			45782000000
1536			45631000000
1495			45625000000
1496			45195000000
1723			44910000000
1608			43813000000
1564			43488000000
1537			43439000000
1736			42893000000
1497			41905000000
1701			41096000000
1853			41042000000
1773			40584000000
1637			40223000000
1464			39760000000
1609			39581000000
1429			39502000000
1565			38773000000
1120			38550000000
1704			38440000000
1431			37746000000
1610			36664000000
1684			36505000000
1682			36189000000
1624			36047000000
1611			36017000000
0412			35940000000
1775			35742000000
1639			35301000000
1685			34752000000
1724			34362000000
1638			34052000000
1498			34042000000
1777			33914000000
1499			33864000000
1683			33656000000
1281			33635000000
1686			32901000000
1818			32181000000
1764			30970000000
1857			30613000000
1778			30538000000
1711			30422000000
1626			30134000000
1774			29644000000
1751			29267000000
1772			29264000000
1625			28969000000
1814			28440000000
1742			28257000000
