BH ID	Infall mass [Msun]	Infall time [Myr]	t at Ctr [Myr]
0066	    1947674			 190.479			      17574
0067	    4648912			 738.848			      25443
0068	    4321159			 913.872			      37242
0070	    8658712			1272.138			      34801
0069	    4120283			1438.559			      89794
0071	    2110370			1440.114			     172847
0784	    1346193			3263.422			    2134530
0072	  808982778			3632.770			      10000
0076	    6185870			3645.662			     639459
0258	     715502			3669.543			    5590676
0078	   72012995			3680.896			      61228
0077	  296939702			3697.929			      19018
0075	     266057			3709.022			   15486563
0074	   70641805			3715.669			      63883
0073	      48060			3776.870			   90197298
1010	      59583			3884.217			   78705953
1043	     153220			3986.218			   32905588
1084	       1080			4157.720			 5242569998
1085	       8305			4289.148			  742440842
1083	    1125552			4339.714			    5660888
1135	     532707			4511.216			   13261739
1181	      22375			4629.101			  337810851
1182	       7817			4729.618			 1022542152
1292	    3721538			5000.566			    2481171
1086	       5939			7615.534			 3966241519
0079	  753463729			7672.400			      41023
1293	     147798			7690.456			  162898595
1630	       2609			8536.542			11753595448
0259	    7353221			9779.281			    5749424
