BH ID	Infall time [Gyr]	Infall mass [Msun]
2	0.0314797633859	7638381.16808
3	0.147804447278	2352480.01567
4	0.891330357997	1237391270.54
5	3.73969545916	174533439.8
6	3.73234101138	214762654.235
7	3.64384425475	449785.304462
8	4.39961517982	70256405.1503
9	7.89174061301	1336751978.66
10	7.80255186185	90160807.3347
11	8.07619659286	83632032.8775
12	7.87338302028	17652223.2591
13	8.01927300686	147774850.873
14	8.12643693192	3249340.99091
15	8.17438635187	3186544.31309
16	8.02471136648	6602698.66928
17	7.8653173881	35368800.2255
18	8.03306337062	1375325818.04
19	8.01561133273	32380138.5826
20	8.16275584244	1471161.75375
21	8.07234706923	23712.0964013
22	8.17307547888	134953944.193
23	8.15800626249	339409.405789
24	7.9908218771	315611465.769
25	7.9035826553	8501111.07066
26	8.03485606401	52527153.4649
27	11.1029446467	2101161483.21
28	11.2030189919	53755768.4874
29	11.0302487389	302681.710275
30	10.9328377319	108601.881577
31	10.8467871977	12046299.9761
32	11.0706795742	494691.732626
33	11.1938241922	38115435.1551
34	11.099974194	15905439.5355
35	10.8698150124	228657.443754
36	10.9501741124	850759.495469
37	11.3581638764	17753532.0188
38	11.0688820715	1031454161.94
39	10.8856780519	272393.569815
40	10.8246090604	1605036.37404
41	11.0343126801	130842.050032
42	11.15009275	1180464.68168
43	11.1510524221	15838500.9765
44	11.2455377895	10603278.4663
45	11.2169540018	45561086.3072
46	11.2433279239	186716693.378
47	10.8460842523	486750.802242
48	11.6525435079	1773718715.85
49	11.6469247721	73665161.9501
50	11.6522989587	130715.680795
245	4.43144860487	605675.43119
246	4.76045786737	17621020.9893
247	7.91803456879	5201890.34285
248	8.18482341806	559075.972332
249	7.80209262673	1049043.16591
250	8.01092217711	1591741.35353
251	10.8958276903	87105033.4006
252	10.8952436286	446565.601169
253	11.3449353484	1860158.50154
254	11.2342925398	36998634.3686
255	11.3244272003	2946767.76788
256	11.9093154389	686551.568367
534	1.47035484583	17216.4235307
535	1.65028730588	35100.75368
536	8.04381281361	24141.6620959
537	10.8941945887	261852.47835
618	4.11193770392	4457539.532
619	8.08678324683	2336.43211097
675	6.24398027189	5973.47626726
712	6.11613280426	570674.384156
713	8.0279517234	60506.3196043
781	11.29030484	90013.1833532
782	11.2493206082	30068.8121708
829	7.88875318886	34355.1676981
850	3.24661173698	4219977.97234
851	8.02154417874	335632.588714
852	10.8574447759	15000.8583383
908	11.1080002804	1943474.14625
938	11.2907451888	5952398.88239
939	11.0438726255	774503.328618
969	8.17406738983	764853.03808
970	8.02818542692	10903.7669913
971	7.99958610844	18152.5041693
972	7.95136192735	38196.9607575
973	7.86838761861	164522.427724
974	7.90552736375	224357.293292
975	10.9275080105	274308.792213
999	8.18781974474	278061.684425
1000	8.04162089117	149160.984684
1001	8.18681720438	57270.0412248
1002	8.21024076937	20149.155489
1003	8.03413258873	9977.54205009
1004	10.7706385532	4590.80963072
1005	10.7748946539	145278.036134
1033	4.12296380461	1515709.01103
1034	7.96740521757	254457.232912
1035	8.2103147603	12906.7063944
1036	8.03032375627	156261.294043
1037	11.3460577987	176447.56489
1038	11.3346533792	10232.8314482
1076	8.16174700068	74876.9902208
1077	8.06962761411	21183.0124478
1078	8.12856117841	11672.8818679
1079	8.08007411874	3109.36329571
1080	11.1777801109	66887.0075904
1081	11.1866979097	567567.280877
1125	8.06131958856	6513.23423516
1126	7.99434984659	58088.5874207
1127	8.04995601374	1507398.01088
1128	8.06602516502	689552.702575
1129	10.9861703009	18626.8201907
1130	11.0216794068	6200.78664629
1166	8.01914425275	32854.1690981
1167	8.12666284682	411228.860691
1168	7.82423722599	147590.943918
1169	7.99777203279	51282.5550192
1170	8.04885532327	22342.9765145
1171	8.05160066438	77424.9514955
1172	7.93173707003	21086.3072585
1173	8.21206833528	1555.58880116
1174	8.1062460307	368152.691441
1175	10.9554124439	46410.3174515
1176	10.922967751	995625.683231
1177	11.2192666491	96146.1684124
1232	5.05492518883	2978022.87286
1233	8.07429761062	3090479.33524
1234	7.87121091142	325007.44608
1235	7.93111512943	160363.574618
1236	8.07310575672	67711.4184947
1237	8.07759874254	19483.6653039
1238	8.1997678374	567618.762134
1239	8.14913827542	2351116.75565
1240	8.0992079787	111352.678256
1241	8.07883607399	3553763.63595
1242	8.03865562691	352629.143706
1282	5.02092824439	92124.3863793
1283	8.19153284987	3073673.2255
1284	8.18058793996	721975.059639
1285	7.91736053203	221904.580891
1286	8.08464198242	35540.4619283
1287	8.20812225999	452850.154179
1288	8.1351883828	443749.241222
1289	7.98284863559	5210.72421913
1290	7.85199960989	32139.4971022
1291	10.9245229152	32743.0714041
1340	8.18551528668	34215.9427212
1341	8.18500582168	1539.03340081
1342	11.1651094612	918.320410536
1385	8.10981451952	2599989.7884
1386	8.12987758186	6874.59432791
1387	11.3050108057	4787.03794243
1466	8.20258683119	2604697.48571
1467	8.08657112423	97424.4443045
1468	7.96046106317	86384.2331401
1469	7.94483952503	9270.77225195
1470	7.95839537516	26788.6136042
1501	7.88813734964	573183.811789
1502	7.97440400018	55181.6293164
1503	8.14010622086	531157.153481
1504	7.84327380561	165662.93829
1505	7.99983712211	13214.7895469
1538	8.180066827	2989.3221608
1566	8.06808979348	20225.8573721
1567	7.81498520599	6692.67700339
1568	8.19509343383	24085.451989
1569	10.8104824928	10134809.0717
1627	8.21785558817	95345095.2338
1628	8.46779158079	3789.97579471
1640	8.6913369115	537036.066625
1641	8.97686861397	151170.071668
1642	8.92753636891	683256.687574
1643	9.08822767094	3402.15840836
1644	8.73593847875	136588.957783
1645	9.05535287438	221530.567539
1646	8.98247460109	151301.352963
1647	8.75574142967	13543.658324
1648	8.6605839552	291155.613573
1649	8.88516401707	61344.9693883
1650	8.99226170439	39602.6911637
1651	8.93924993343	27495.1931065
1652	8.92548280715	1885611.14214
1653	8.83585343489	99812.4887685
1654	8.83358596739	31786.5424242
1655	9.0385930688	5354.10706358
1656	9.05241983994	33197.1696714
1657	9.10183495162	29452.0781013
1658	8.96658232911	52930.550423
1659	8.77647338983	98012.4809146
1660	8.70205587865	7017.35711933
1661	8.78888528871	550306.319218
1662	8.72880407687	19557.1344353
1663	9.13005225165	18939.5334216
1664	9.11548003179	49920.6205614
1665	8.91257395433	68444.657149
1691	9.36108188719	1352845.07199
1692	9.46663389874	87750.9236028
1693	9.505106147	37142.4215321
1694	9.27056927247	33170.1282134
1695	9.14818332603	1017391.50052
1696	9.56478113969	13671.3101028
1713	9.77605978017	55281.904535
1714	10.0171185231	66826.6260068
1715	10.0185691049	63643.1686787
1730	10.2677741795	272937.101259
1758	11.4341999127	38495.3658909
1759	11.5883231463	118019.549986
1760	11.8431468796	17111.9167444
